listing-location,price,bed,bath,listing-floorarea,harga_permeter_persegi,price_formatted,district,sub-district,area
"VOLTA, Gading Serpong, Tangerang Selatan, Banten",2750000000.0,3.0,3.0,132.0,23109244.0,"2,750,000,000",Serpong,Serpong,Gading Serpong
"Bintaro, Bintaro, Tangerang Selatan, Banten",600000000.0,3.0,3.0,55.0,10000000.0,"600,000,000",,Bintaro,Bintaro
"BSD, Tangerang Selatan, Banten",5500000000.0,3.0,4.0,300.0,13784461.0,"5,500,000,000",,,BSD
"BSD, Tangerang Selatan, Banten",6000000000.0,4.0,4.0,290.0,23904382.0,"6,000,000,000",,,BSD
"BSD, Tangerang Selatan, Banten",1575000000.0,2.0,1.0,55.0,11250000.0,"1,575,000,000",,,BSD
"BSD, Tangerang Selatan, Banten",5800000000.0,4.0,4.0,177.0,40277778.0,"5,800,000,000",,,BSD
"BSD, Tangerang Selatan, Banten",1450000000.0,3.0,2.0,150.0,20138889.0,"1,450,000,000",,,BSD
"Taman Berryl Residence, Serpong Utara, Tangerang Selatan, Banten",1500000000.0,3.0,2.0,63.0,20833333.0,"1,500,000,000",Serpong,Serpong Utara,Serpong
"Bintaro, Tangerang Selatan, Banten",5500000000.0,5.0,4.0,300.0,13126492.0,"5,500,000,000",,Bintaro,Bintaro
"BSD, Tangerang Selatan, Banten",2100000000.0,3.0,2.0,110.0,16666667.0,"2,100,000,000",,,BSD
"BSD, BSD, Tangerang Selatan, Banten",6500000000.0,4.0,3.0,200.0,14348786.0,"6,500,000,000",,,BSD
"Jl. Tarumanegara, Ciputat Timur, Tangerang Selatan, Banten",2200000000.0,3.0,4.0,200.0,18333333.0,"2,200,000,000",Ciputat,Ciputat,
"Bintaro, Bintaro, Tangerang Selatan, Banten",3800000000.0,4.0,4.0,171.0,22754491.0,"3,800,000,000",,Bintaro,Bintaro
"BSD, Tangerang Selatan, Banten",1700000000.0,3.0,2.0,180.0,16190476.0,"1,700,000,000",,,BSD
"Gading serpong, Gading Serpong, Tangerang Selatan, Banten",7900000000.0,8.0,6.0,525.0,31349206.0,"7,900,000,000",Serpong,Serpong,Gading Serpong
"De Latinos Serpong BSD, BSD, Tangerang Selatan, Banten",2600000000.0,5.0,4.0,180.0,20312500.0,"2,600,000,000",Serpong,Serpong,BSD
"Greenwich BSD City, BSD, Tangerang Selatan, Banten",5500000000.0,4.0,4.0,170.0,23504274.0,"5,500,000,000",,,BSD
"Graha raya, Bintaro, Tangerang Selatan, Banten",120000000.0,4.0,2.0,170.0,666667.0,"120,000,000",,Bintaro,Bintaro
"Melati Mas Serpong, BSD, Tangerang Selatan, Banten",1200000000.0,4.0,2.0,109.0,11009174.0,"1,200,000,000",Serpong,Serpong,BSD
"BSD, Tangerang Selatan, Banten",7800000000.0,6.0,4.0,340.0,4144527.0,"7,800,000,000",,,BSD
"Ciputat Timur, Tangerang Selatan, Banten",12000000000.0,4.0,4.0,1600.0,9600000.0,"12,000,000,000",Ciputat,Ciputat,
"Jl. Teratai, Pondok Aren, Tangerang Selatan, Banten",1900000000.0,3.0,2.0,110.0,9500000.0,"1,900,000,000",Pondok Aren,Pondok Aren,
"Jalan Grisea Raya no 1, Gading Serpong, Tangerang Selatan, Banten",5800000000.0,5.0,4.0,186.0,21804511.0,"5,800,000,000",Serpong,Serpong,Gading Serpong
"Ciputat Timur, Tangerang Selatan, Banten",2200000000.0,3.0,2.0,200.0,18965517.0,"2,200,000,000",Ciputat,Ciputat,
"bsd city, Serpong Utara, Tangerang Selatan, Banten",4900000000.0,4.0,6.0,255.0,34027778.0,"4,900,000,000",Serpong,Serpong Utara,BSD
"Sektor 9, Bintaro, Tangerang Selatan, Banten",200000000.0,4.0,5.0,380.0,1000000.0,"200,000,000",,Bintaro,Bintaro
"Serpong Utara, Tangerang Selatan, Banten",3500000000.0,5.0,4.0,163.0,14403292.0,"3,500,000,000",Serpong,Serpong Utara,Serpong
"Pamulang, Tangerang Selatan, Banten",630.0,2.0,1.0,50.0,7.0,630,Pamulang,,Pamulang
"Jl.lombok, Bintaro, Tangerang Selatan, Banten",932000000.0,2.0,2.0,72.0,15533333.0,"932,000,000",,Bintaro,Bintaro
"BSD, BSD, Tangerang Selatan, Banten",3200000000.0,3.0,2.0,128.0,19753086.0,"3,200,000,000",,,BSD
"Serpong Utara, Tangerang Selatan, Banten",75000000.0,3.0,2.0,90.0,1056338.0,"75,000,000",Serpong,Serpong Utara,Serpong
"Serpong, Tangerang Selatan, Banten",850000000.0,2.0,2.0,36.0,12878788.0,"850,000,000",Serpong,Serpong,Serpong
"Graha bintaro, Bintaro, Tangerang Selatan, Banten",1750000000.0,5.0,3.0,120.0,24305556.0,"1,750,000,000",,Bintaro,Bintaro
"Jalan Swadaya, Pamulang, Tangerang Selatan, Banten",795000000.0,2.0,2.0,65.0,9464286.0,"795,000,000",Pamulang,,Pamulang
"Pondok Aren, Tangerang Selatan, Banten",4400000000.0,7.0,4.0,320.0,16666667.0,"4,400,000,000",Pondok Aren,Pondok Aren,
"Sektor 8 Bintaro Jaya, Bintaro, Tangerang Selatan, Banten",5900000000.0,4.0,5.0,400.0,22097378.0,"5,900,000,000",,Bintaro,Bintaro
"Jl Perkutut, Bintaro, Tangerang Selatan, Banten",4000000000.0,5.0,6.0,400.0,10666667.0,"4,000,000,000",,Bintaro,Bintaro
"Gramercy Alam Sutera, Alam Sutera, Tangerang Selatan, Banten",21100000000.0,6.0,7.0,451.0,50238095.0,"21,100,000,000",,,Alam Sutera
"BSD, Tangerang Selatan, Banten",5500000000.0,4.0,4.0,360.0,18333333.0,"5,500,000,000",,,BSD
"Bintaro Sektor 2, Bintaro, Tangerang Selatan, Banten",3500000000.0,5.0,4.0,250.0,11627907.0,"3,500,000,000",,Bintaro,Bintaro
"Bintaro Sektor 2, Bintaro, Tangerang Selatan, Banten",3200000000.0,5.0,3.0,270.0,17777778.0,"3,200,000,000",,Bintaro,Bintaro
"Ciputat Lebak Bulus Cirendeu, Ciputat, Tangerang Selatan, Banten",3200000000.0,5.0,3.0,250.0,5315615.0,"3,200,000,000",Ciputat,Ciputat,Cirendeu
"Bintaro, Bintaro, Tangerang Selatan, Banten",2600000000.0,3.0,4.0,120.0,21666667.0,"2,600,000,000",,Bintaro,Bintaro
"Jalan Karya, Ciputat Timur, Tangerang Selatan, Banten",10000000000.0,4.0,3.0,500.0,4454343.0,"10,000,000,000",Ciputat,Ciputat,
"Pondok Aren Bintaro, Bintaro, Tangerang Selatan, Banten",960000000.0,2.0,1.0,45.0,12972973.0,"960,000,000",Pondok Aren,Pondok Aren,Bintaro
"Paradise Resort, Ciputat, Tangerang Selatan, Banten",1525000000.0,3.0,2.0,77.0,16397849.0,"1,525,000,000",Ciputat,Ciputat,
"Bintaro Jaya, Bintaro, Tangerang Selatan, Banten",3850000000.0,5.0,4.0,220.0,24062500.0,"3,850,000,000",,Bintaro,Bintaro
"Pondok Aren, Tangerang Selatan, Banten",1400000000.0,4.0,3.0,80.0,19444444.0,"1,400,000,000",Pondok Aren,Pondok Aren,
"gading serpong, Pondok Aren, Tangerang Selatan, Banten",2400000000.0,3.0,2.0,92.0,28571429.0,"2,400,000,000",Pondok Aren,Pondok Aren,Gading Serpong
"Bintaro, Tangerang Selatan, Banten",2300000000.0,3.0,3.0,120.0,15972222.0,"2,300,000,000",,Bintaro,Bintaro
"Bintaro, Tangerang Selatan, Banten",2500000000.0,4.0,4.0,180.0,20833333.0,"2,500,000,000",,Bintaro,Bintaro
"Bintaro, Tangerang Selatan, Banten",4200000000.0,5.0,5.0,200.0,21761658.0,"4,200,000,000",,Bintaro,Bintaro
"Bintaro, Tangerang Selatan, Banten",6900000000.0,5.0,6.0,350.0,30666667.0,"6,900,000,000",,Bintaro,Bintaro
